ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.3407,-7.3513,1.2643,-8.0E-4,-0.0462,-0.1166,-0.0154,0.0122,0.0043,2,2019-08-07 16:26:51:728
6.3981,-7.3561,1.2313,-8.0E-4,-0.0462,-0.1166,-0.0154,0.0122,0.0043,8,2019-08-07 16:26:51:734
6.3981,-7.3561,1.2313,-0.0876,-0.1043,-0.0187,-0.0229,-0.0166,0.0075,13,2019-08-07 16:26:51:739
6.4842,-7.4086,1.1276,-0.0876,-0.1043,-0.0187,-0.0229,-0.0166,0.0075,17,2019-08-07 16:26:51:743
6.4842,-7.4086,1.1276,-0.0876,-0.1043,-0.0187,-0.0282,-0.0272,0.0203,23,2019-08-07 16:26:51:749
6.5225,-7.3895,1.1465,-0.0876,-0.1043,-0.0187,-0.0282,-0.0272,0.0203,28,2019-08-07 16:26:51:754
6.5225,-7.3895,1.1465,-0.1986,0.013,0.0253,-0.0282,-0.0272,0.0203,33,2019-08-07 16:26:51:759
6.5225,-7.3895,1.1465,-0.1986,0.013,0.0253,-0.0165,-0.0304,0.0331,38,2019-08-07 16:26:51:764
6.5464,-7.5327,1.0192,-0.1986,0.013,0.0253,-0.0165,-0.0304,0.0331,43,2019-08-07 16:26:51:769
6.5464,-7.5327,1.0192,-0.1986,0.013,0.0253,-0.0048,-0.0123,0.0341,48,2019-08-07 16:26:51:774
6.5464,-7.5327,1.0192,-0.2025,0.1092,0.0772,0.0102,0.0175,0.0246,53,2019-08-07 16:26:51:779
6.5177,-7.5184,1.0711,-0.2025,0.1092,0.0772,0.0102,0.0175,0.0246,58,2019-08-07 16:26:51:784
6.5177,-7.5184,1.0711,-0.2025,0.1092,0.0772,0.0102,0.0175,0.0246,63,2019-08-07 16:26:51:789
6.3646,-7.4946,1.0616,-0.2025,0.1092,0.0772,0.0197,0.042,0.0171,67,2019-08-07 16:26:51:793
6.3646,-7.4946,1.0616,-0.0291,0.1118,0.0739,0.0197,0.042,0.0171,73,2019-08-07 16:26:51:799
6.2546,-7.5232,1.0805,-0.0291,0.1118,0.0739,0.024,0.0516,0.0054,78,2019-08-07 16:26:51:804
6.2546,-7.5232,1.0805,-0.0291,0.1118,0.0739,0.0197,0.0367,-0.0031,84,2019-08-07 16:26:51:810
6.2546,-7.5232,1.0805,-0.0291,0.1118,0.0739,0.0197,0.0367,-0.0031,87,2019-08-07 16:26:51:813
6.3072,-7.442,1.1606,0.0221,0.0355,-0.012,0.0197,0.0367,-0.0031,93,2019-08-07 16:26:51:819
6.3072,-7.442,1.1606,0.0221,0.0355,-0.012,0.0165,0.0111,-0.0085,98,2019-08-07 16:26:51:824
6.3072,-7.442,1.1606,0.0221,0.0355,-0.012,0.0165,0.0111,-0.0085,103,2019-08-07 16:26:51:829
6.4364,-7.3657,1.1559,0.0221,0.0355,-0.012,0.0165,-0.0219,-0.0053,107,2019-08-07 16:26:51:833
6.4364,-7.3657,1.1559,-0.1199,-0.0536,-0.0291,0.0165,-0.0219,-0.0053,113,2019-08-07 16:26:51:839
6.4364,-7.3657,1.1559,-0.1199,-0.0536,-0.0291,0.0112,-0.0432,1.0E-4,117,2019-08-07 16:26:51:843
6.489,-7.3036,1.1276,-0.1199,-0.0536,-0.0291,0.0112,-0.0432,1.0E-4,123,2019-08-07 16:26:51:849
6.489,-7.3036,1.1276,-0.1199,-0.0536,-0.0291,0.007,-0.0528,0.0086,128,2019-08-07 16:26:51:854
6.6852,-7.2368,1.0711,-0.3521,-0.167,0.0747,0.007,-0.0528,0.0086,132,2019-08-07 16:26:51:858
6.6852,-7.2368,1.0711,-0.3521,-0.167,0.0747,0.0027,-0.0443,0.0203,138,2019-08-07 16:26:51:864
6.6852,-7.2368,1.0711,-0.3521,-0.167,0.0747,0.0027,-0.0443,0.0203,143,2019-08-07 16:26:51:869
6.5703,-7.3084,1.1276,-0.3521,-0.167,0.0747,0.007,-0.023,0.0256,148,2019-08-07 16:26:51:874
6.5703,-7.3084,1.1276,-0.233,-0.0726,0.0187,0.007,-0.023,0.0256,153,2019-08-07 16:26:51:879
6.5129,-7.3609,1.1041,-0.233,-0.0726,0.0187,0.0134,0.0132,0.0331,158,2019-08-07 16:26:51:884
6.5129,-7.3609,1.1041,-0.233,-0.0726,0.0187,0.0134,0.0132,0.0331,163,2019-08-07 16:26:51:889
6.5129,-7.3609,1.1041,-0.233,-0.0726,0.0187,0.0176,0.0431,0.0288,167,2019-08-07 16:26:51:893
6.3503,-7.4039,1.1795,-0.0224,0.0101,-0.0092,0.0176,0.0431,0.0288,173,2019-08-07 16:26:51:899
6.3503,-7.4039,1.1795,-0.0224,0.0101,-0.0092,0.0208,0.059,0.0171,178,2019-08-07 16:26:51:904
6.1876,-7.4182,1.2502,-0.0224,0.0101,-0.0092,0.0208,0.059,0.0171,183,2019-08-07 16:26:51:909
6.1876,-7.4182,1.2502,-0.0224,0.0101,-0.0092,0.0102,0.0537,0.0043,188,2019-08-07 16:26:51:914
6.1876,-7.4182,1.2502,0.2272,0.0226,-0.1453,0.0102,0.0537,0.0043,193,2019-08-07 16:26:51:919
6.111,-7.3991,1.2832,0.2272,0.0226,-0.1453,-0.0058,0.0282,-0.0085,198,2019-08-07 16:26:51:924
6.111,-7.3991,1.2832,0.2272,0.0226,-0.1453,-0.0058,0.0282,-0.0085,203,2019-08-07 16:26:51:929
6.111,-7.3991,1.2832,0.2272,0.0226,-0.1453,-0.0058,0.0282,-0.0085,208,2019-08-07 16:26:51:934
6.1637,-7.3752,1.2926,0.1034,-0.0292,-0.1112,-0.0186,-0.0177,-0.017,213,2019-08-07 16:26:51:939
6.1637,-7.3752,1.2926,0.1034,-0.0292,-0.1112,-0.0186,-0.0177,-0.017,218,2019-08-07 16:26:51:944
6.3072,-7.3752,1.2643,0.1034,-0.0292,-0.1112,-0.0293,-0.0539,-0.017,223,2019-08-07 16:26:51:949
6.3072,-7.3752,1.2643,0.1034,-0.0292,-0.1112,-0.0293,-0.0539,-0.017,228,2019-08-07 16:26:51:954
6.3072,-7.3752,1.2643,0.1034,-0.0292,-0.1112,-0.0325,-0.0762,-0.0191,232,2019-08-07 16:26:51:958
6.5129,-7.3322,1.1653,-0.1839,-0.075,-0.0193,-0.0325,-0.0762,-0.0191,238,2019-08-07 16:26:51:964
6.5129,-7.3322,1.1653,-0.1839,-0.075,-0.0193,-0.0282,-0.0752,-0.0106,243,2019-08-07 16:26:51:969
6.6134,-7.3848,1.0522,-0.1839,-0.075,-0.0193,-0.0218,-0.0667,-0.0117,249,2019-08-07 16:26:51:975
6.6134,-7.3848,1.0522,-0.1839,-0.075,-0.0193,-0.0218,-0.0667,-0.0117,253,2019-08-07 16:26:51:979
6.6134,-7.3848,1.0522,-0.3654,-0.0345,0.1507,-0.0218,-0.0667,-0.0117,258,2019-08-07 16:26:51:984
6.6899,-7.4516,1.0192,-0.3654,-0.0345,0.1507,-0.0133,-0.0294,-0.0074,262,2019-08-07 16:26:51:988
6.6899,-7.4516,1.0192,-0.3654,-0.0345,0.1507,-0.0133,-0.0294,-0.0074,268,2019-08-07 16:26:51:994
6.6899,-7.4516,1.0192,-0.3654,-0.0345,0.1507,-5.0E-4,0.0026,-0.001,273,2019-08-07 16:26:51:999
6.5607,-7.4229,1.0333,-0.2239,0.0194,0.0928,-5.0E-4,0.0026,-0.001,278,2019-08-07 16:26:52:004
6.5607,-7.4229,1.0333,-0.2239,0.0194,0.0928,0.0123,0.0292,1.0E-4,283,2019-08-07 16:26:52:009
6.5607,-7.4229,1.0333,-0.2239,0.0194,0.0928,0.0123,0.0292,1.0E-4,287,2019-08-07 16:26:52:013
6.3789,-7.4373,1.1371,-0.2239,0.0194,0.0928,0.0155,0.0313,-0.0021,293,2019-08-07 16:26:52:019
6.3789,-7.4373,1.1371,0.0677,-0.0134,-0.0341,0.0155,0.0313,-0.0021,298,2019-08-07 16:26:52:024
6.2067,-7.4182,1.1936,0.0677,-0.0134,-0.0341,0.0155,0.0313,-0.0021,303,2019-08-07 16:26:52:029
6.2067,-7.4182,1.1936,0.0677,-0.0134,-0.0341,0.0038,0.0047,-0.0127,308,2019-08-07 16:26:52:034
6.2067,-7.4182,1.1936,0.1307,0.0926,-0.0365,0.0038,0.0047,-0.0127,314,2019-08-07 16:26:52:040
6.2067,-7.4946,1.17,0.1307,0.0926,-0.0365,-0.0069,-0.0219,-0.0234,318,2019-08-07 16:26:52:044
6.2067,-7.4946,1.17,0.1307,0.0926,-0.0365,-0.0069,-0.0219,-0.0234,323,2019-08-07 16:26:52:049
6.3406,-7.4802,1.1653,0.1307,0.0926,-0.0365,-0.008,-0.0496,-0.0298,328,2019-08-07 16:26:52:054
6.3406,-7.4802,1.1653,0.1307,0.0926,-0.0365,-0.008,-0.0496,-0.0298,332,2019-08-07 16:26:52:058
6.3406,-7.4802,1.1653,-0.0177,0.0812,-0.0106,-0.0111,-0.0677,-0.0308,338,2019-08-07 16:26:52:064
6.4507,-7.528,1.0711,-0.0177,0.0812,-0.0106,-0.0111,-0.0677,-0.0308,343,2019-08-07 16:26:52:069
6.4507,-7.528,1.0711,-0.0177,0.0812,-0.0106,-0.0111,-0.0677,-0.0276,348,2019-08-07 16:26:52:074
6.5751,-7.4325,1.0522,-0.0177,0.0812,-0.0106,-0.0111,-0.0677,-0.0276,353,2019-08-07 16:26:52:079
6.5751,-7.4325,1.0522,-0.2263,0.0423,0.0352,-0.0111,-0.0677,-0.0276,357,2019-08-07 16:26:52:083
6.5751,-7.4325,1.0522,-0.2263,0.0423,0.0352,-0.0058,-0.0571,-0.0255,363,2019-08-07 16:26:52:089
6.6181,-7.3418,1.0003,-0.2263,0.0423,0.0352,-0.0058,-0.0571,-0.0255,368,2019-08-07 16:26:52:094
6.6181,-7.3418,1.0003,-0.2263,0.0423,0.0352,-5.0E-4,-0.0347,-0.0117,372,2019-08-07 16:26:52:098
6.6612,-7.4182,1.1606,-0.2737,-0.021,0.0237,-5.0E-4,-0.0347,-0.0117,378,2019-08-07 16:26:52:104
6.6612,-7.4182,1.1606,-0.2737,-0.021,0.0237,0.0112,-0.023,-0.0042,382,2019-08-07 16:26:52:108
6.6612,-7.4182,1.1606,-0.2737,-0.021,0.0237,0.0112,-0.023,-0.0042,388,2019-08-07 16:26:52:114
6.5846,-7.4325,1.0946,-0.2737,-0.021,0.0237,0.0165,-0.0081,0.0033,394,2019-08-07 16:26:52:120
6.5846,-7.4325,1.0946,-0.2005,0.0327,-0.0804,0.0165,-0.0081,0.0033,398,2019-08-07 16:26:52:124
6.4124,-7.4277,1.2455,-0.2005,0.0327,-0.0804,0.0112,-0.0081,0.0054,403,2019-08-07 16:26:52:129
6.4124,-7.4277,1.2455,-0.2005,0.0327,-0.0804,0.0112,-0.0081,0.0054,409,2019-08-07 16:26:52:135
6.4028,-7.4564,1.203,-0.2005,0.0327,-0.0804,0.0059,-0.0049,0.0075,413,2019-08-07 16:26:52:139
6.4028,-7.4564,1.203,-0.0481,0.0466,-0.0603,0.0059,-0.0049,0.0075,418,2019-08-07 16:26:52:144
6.4028,-7.4564,1.203,-0.0481,0.0466,-0.0603,0.0059,-0.0049,0.0075,423,2019-08-07 16:26:52:149
6.3215,-7.485,1.2219,-0.0481,0.0466,-0.0603,-0.009,-0.0219,0.0033,428,2019-08-07 16:26:52:154
6.3215,-7.485,1.2219,-0.0481,0.0466,-0.0603,-0.009,-0.0219,0.0033,432,2019-08-07 16:26:52:158
6.3215,-7.485,1.2219,-0.0578,0.0984,-0.1158,-0.0165,-0.0368,0.0011,438,2019-08-07 16:26:52:164
6.4507,-7.442,1.203,-0.0578,0.0984,-0.1158,-0.0165,-0.0368,0.0011,443,2019-08-07 16:26:52:169
6.4507,-7.442,1.203,-0.0578,0.0984,-0.1158,-0.0154,-0.024,-0.0042,448,2019-08-07 16:26:52:174
6.5272,-7.4182,1.1418,-0.0578,0.0984,-0.1158,-0.0154,-0.024,-0.0042,453,2019-08-07 16:26:52:179
6.5272,-7.4182,1.1418,-0.2477,-0.0014,0.0244,-0.0143,-0.0155,1.0E-4,458,2019-08-07 16:26:52:184
6.6229,-7.3704,1.0333,-0.2477,-0.0014,0.0244,-0.0143,-0.0155,1.0E-4,464,2019-08-07 16:26:52:190
6.6229,-7.3704,1.0333,-0.2373,-0.0202,0.0929,-0.0143,-0.0155,1.0E-4,468,2019-08-07 16:26:52:194
6.6229,-7.3704,1.0333,-0.2373,-0.0202,0.0929,-0.0143,0.0047,1.0E-4,473,2019-08-07 16:26:52:199
6.5846,-7.38,1.0381,-0.2373,-0.0202,0.0929,-0.0143,0.0047,1.0E-4,478,2019-08-07 16:26:52:204
6.5846,-7.38,1.0381,-0.2373,-0.0202,0.0929,-0.0048,0.0132,0.0065,483,2019-08-07 16:26:52:209
6.5846,-7.38,1.0381,-0.1794,-0.0247,0.0733,-0.0048,0.0132,0.0065,487,2019-08-07 16:26:52:213
6.5033,-7.3752,1.0003,-0.1794,-0.0247,0.0733,0.007,0.0132,0.0128,494,2019-08-07 16:26:52:220
6.5033,-7.3752,1.0003,-0.1794,-0.0247,0.0733,0.007,0.0132,0.0128,497,2019-08-07 16:26:52:223
6.4411,-7.4277,1.0333,-0.1794,-0.0247,0.0733,0.007,0.0132,0.0128,503,2019-08-07 16:26:52:229
6.4411,-7.4277,1.0333,-0.0516,0.0843,0.0048,0.0091,0.0111,0.0054,509,2019-08-07 16:26:52:235
6.4411,-7.4277,1.0333,-0.0516,0.0843,0.0048,0.0091,0.0111,0.0054,512,2019-08-07 16:26:52:238
6.3884,-7.442,1.1889,-0.0516,0.0843,0.0048,0.0102,-0.0027,0.0033,518,2019-08-07 16:26:52:244
6.3884,-7.442,1.1889,-0.0516,0.0843,0.0048,0.0102,-0.0027,0.0033,522,2019-08-07 16:26:52:248
6.3267,-7.4469,1.1654,0.0284,0.0552,-0.0647,0.0048,-0.0123,1.0E-4,528,2019-08-07 16:26:52:254
6.3267,-7.4469,1.1654,0.0284,0.0552,-0.0647,0.0048,-0.0123,1.0E-4,533,2019-08-07 16:26:52:259
6.3267,-7.4469,1.1654,0.0284,0.0552,-0.0647,-0.0069,-0.0326,-0.0063,537,2019-08-07 16:26:52:263
6.3172,-7.4087,1.1749,0.0284,0.0552,-0.0647,-0.0069,-0.0326,-0.0063,544,2019-08-07 16:26:52:270
6.3172,-7.4087,1.1749,0.0056,-0.0208,-0.0498,-0.0122,-0.0517,-0.0063,548,2019-08-07 16:26:52:274
6.3172,-7.4087,1.1749,0.0056,-0.0208,-0.0498,-0.0122,-0.0517,-0.0063,553,2019-08-07 16:26:52:279
6.4176,-7.3848,1.1466,0.0056,-0.0208,-0.0498,-0.0122,-0.0517,-0.0063,558,2019-08-07 16:26:52:284
6.4176,-7.3848,1.1466,0.0056,-0.0208,-0.0498,-0.0165,-0.0592,-0.0095,563,2019-08-07 16:26:52:289
6.4798,-7.3896,1.123,0.0056,-0.0208,-0.0498,-0.0165,-0.0592,-0.0095,568,2019-08-07 16:26:52:294
6.4798,-7.3896,1.123,-0.2066,-0.0339,-0.0217,-0.0165,-0.0603,-0.0106,573,2019-08-07 16:26:52:299
6.4798,-7.3896,1.123,-0.2066,-0.0339,-0.0217,-0.0165,-0.0603,-0.0106,578,2019-08-07 16:26:52:304
6.6186,-7.3371,1.0664,-0.2066,-0.0339,-0.0217,-0.0197,-0.0475,-0.0095,582,2019-08-07 16:26:52:308
6.6186,-7.3371,1.0664,-0.2506,-0.0129,0.0629,-0.0197,-0.0475,-0.0095,588,2019-08-07 16:26:52:314
6.6042,-7.3609,0.9957,-0.2506,-0.0129,0.0629,-0.0165,-0.0251,-0.0042,592,2019-08-07 16:26:52:318
6.6042,-7.3609,0.9957,-0.2506,-0.0129,0.0629,-0.0165,-0.0251,-0.0042,598,2019-08-07 16:26:52:324
6.6042,-7.3609,0.9957,-0.2506,-0.0129,0.0629,-0.0122,-0.0017,0.0075,603,2019-08-07 16:26:52:329
6.5612,-7.4516,1.0382,-0.2506,-0.0129,0.0629,-0.0122,-0.0017,0.0075,607,2019-08-07 16:26:52:333
6.5612,-7.4516,1.0382,-0.1929,0.0395,0.0271,-0.0026,0.0015,0.0107,613,2019-08-07 16:26:52:339
6.5612,-7.4516,1.0382,-0.1929,0.0395,0.0271,-0.0026,0.0015,0.0107,617,2019-08-07 16:26:52:343
6.4655,-7.4469,1.0759,-0.1929,0.0395,0.0271,-0.0016,0.0047,0.0086,623,2019-08-07 16:26:52:349
6.4655,-7.4469,1.0759,-0.1929,0.0395,0.0271,-0.0016,0.0047,0.0086,627,2019-08-07 16:26:52:353
6.4033,-7.4469,1.09,-0.0506,0.0575,-0.0293,-0.0048,0.0015,0.0054,633,2019-08-07 16:26:52:359
6.4033,-7.4469,1.09,-0.0506,0.0575,-0.0293,-0.0048,0.0015,0.0054,637,2019-08-07 16:26:52:363
6.4033,-7.4469,1.09,-0.0506,0.0575,-0.0293,-0.008,-0.0102,0.0011,643,2019-08-07 16:26:52:369
6.4511,-7.4421,1.0382,-0.0506,0.0575,-0.0293,-0.008,-0.0102,0.0011,648,2019-08-07 16:26:52:374
6.4511,-7.4421,1.0382,-0.0842,0.0762,0.0017,-0.009,-0.0134,-0.0021,653,2019-08-07 16:26:52:379
6.4512,-7.466,1.0664,-0.0842,0.0762,0.0017,-0.009,-0.0134,-0.0021,658,2019-08-07 16:26:52:384
6.4512,-7.466,1.0664,-0.0842,0.0762,0.0017,-0.008,-0.0091,-0.0021,664,2019-08-07 16:26:52:390
6.4512,-7.466,1.0664,-0.0842,0.0762,0.0017,-0.008,-0.0091,-0.0021,668,2019-08-07 16:26:52:394
6.5038,-7.4421,1.123,-0.0979,0.0,-0.0105,-5.0E-4,-0.0123,0.0043,672,2019-08-07 16:26:52:398
6.5038,-7.4421,1.123,-0.0979,0.0,-0.0105,-5.0E-4,-0.0123,0.0043,678,2019-08-07 16:26:52:404
6.5038,-7.4421,1.123,-0.0979,0.0,-0.0105,0.0027,-0.0145,-0.001,682,2019-08-07 16:26:52:408
6.5421,-7.3609,1.123,-0.0979,0.0,-0.0105,0.0027,-0.0145,-0.001,688,2019-08-07 16:26:52:414
6.5421,-7.3609,1.123,-0.1739,0.0099,-0.007,0.0027,-0.0145,-0.001,692,2019-08-07 16:26:52:418
6.5756,-7.3084,1.0806,-0.1739,0.0099,-0.007,0.0048,-0.0145,-0.001,699,2019-08-07 16:26:52:425
6.5756,-7.3084,1.0806,-0.1739,0.0099,-0.007,0.0048,-0.0145,-0.001,703,2019-08-07 16:26:52:429
6.5756,-7.3084,1.0806,-0.1739,0.0099,-0.007,0.0016,-0.0081,0.0086,708,2019-08-07 16:26:52:434
6.5756,-7.275,1.0806,-0.2112,-0.1135,-0.0127,0.0016,-0.0081,0.0086,713,2019-08-07 16:26:52:439
6.5756,-7.275,1.0806,-0.2112,-0.1135,-0.0127,-0.0037,0.01,0.0086,718,2019-08-07 16:26:52:444
6.5756,-7.275,1.0806,-0.2112,-0.1135,-0.0127,-0.0037,0.01,0.0086,723,2019-08-07 16:26:52:449
6.5086,-7.3371,1.0806,-0.2112,-0.1135,-0.0127,-0.0069,0.0271,0.0139,728,2019-08-07 16:26:52:454
6.5086,-7.3371,1.0806,-0.107,-0.0188,-0.1149,-0.0069,0.0271,0.0139,733,2019-08-07 16:26:52:459
6.5086,-7.3371,1.0806,-0.107,-0.0188,-0.1149,-0.0154,0.0239,0.016,738,2019-08-07 16:26:52:464
6.3938,-7.3896,1.1089,-0.107,-0.0188,-0.1149,-0.0154,0.0239,0.016,742,2019-08-07 16:26:52:468
6.3938,-7.3896,1.1089,-0.107,-0.0188,-0.1149,-0.0207,0.0292,0.0054,748,2019-08-07 16:26:52:474
6.3124,-7.3705,1.123,0.0531,-0.0017,-0.1087,-0.0207,0.0292,0.0054,753,2019-08-07 16:26:52:479
6.3124,-7.3705,1.123,0.0531,-0.0017,-0.1087,-0.0207,0.0292,0.0054,757,2019-08-07 16:26:52:483
6.3124,-7.3705,1.123,0.0531,-0.0017,-0.1087,-0.0293,0.0015,0.0033,763,2019-08-07 16:26:52:489
6.2789,-7.3609,1.189,0.0531,-0.0017,-0.1087,-0.0293,0.0015,0.0033,768,2019-08-07 16:26:52:494
6.2789,-7.3609,1.189,0.0666,-0.0506,-0.0886,-0.0346,-0.0091,0.0033,772,2019-08-07 16:26:52:498
6.2789,-7.3609,1.189,0.0666,-0.0506,-0.0886,-0.0346,-0.0091,0.0033,778,2019-08-07 16:26:52:504
6.3124,-7.3943,1.189,0.0666,-0.0506,-0.0886,-0.0325,-0.0187,-0.001,783,2019-08-07 16:26:52:509
6.3124,-7.3943,1.189,0.0666,-0.0506,-0.0886,-0.0325,-0.0187,-0.001,788,2019-08-07 16:26:52:514
6.4033,-7.4039,1.0759,-0.0429,0.0108,-0.0164,-0.0357,-0.0358,-0.0042,793,2019-08-07 16:26:52:519
6.4033,-7.4039,1.0759,-0.0429,0.0108,-0.0164,-0.0357,-0.0358,-0.0042,798,2019-08-07 16:26:52:524
6.4512,-7.4516,0.9863,-0.0429,0.0108,-0.0164,-0.0388,-0.0272,-0.0138,803,2019-08-07 16:26:52:529
6.4512,-7.4516,0.9863,-0.0429,0.0108,-0.0164,-0.0388,-0.0272,-0.0138,807,2019-08-07 16:26:52:533
6.4512,-7.4516,0.9863,-0.1119,0.1359,0.1626,-0.0357,-0.007,-0.0234,813,2019-08-07 16:26:52:539
6.4703,-7.5376,0.9627,-0.1119,0.1359,0.1626,-0.0357,-0.007,-0.0234,818,2019-08-07 16:26:52:544
6.4703,-7.5376,0.9627,-0.1119,0.1359,0.1626,-0.0357,-0.007,-0.0234,822,2019-08-07 16:26:52:548
6.4703,-7.5376,0.9627,-0.1119,0.1359,0.1626,-0.0357,0.0175,-0.0351,828,2019-08-07 16:26:52:554
6.4368,-7.6283,0.9627,-0.0454,0.1914,0.0542,-0.0357,0.0175,-0.0351,832,2019-08-07 16:26:52:558
6.4368,-7.6283,0.9627,-0.0454,0.1914,0.0542,-0.0261,0.0164,-0.0351,838,2019-08-07 16:26:52:564
6.4034,-7.5614,1.0335,-0.0454,0.1914,0.0542,-0.0261,0.0164,-0.0351,843,2019-08-07 16:26:52:569
6.4034,-7.5614,1.0335,-0.0454,0.1914,0.0542,-0.0143,0.0015,-0.0287,848,2019-08-07 16:26:52:574
6.4034,-7.5614,1.0335,-0.0318,0.123,0.0332,-0.0143,0.0015,-0.0287,853,2019-08-07 16:26:52:579
6.4273,-7.5041,1.09,-0.0318,0.123,0.0332,-0.0069,-0.0187,-0.018,858,2019-08-07 16:26:52:584
6.4273,-7.5041,1.09,-0.0318,0.123,0.0332,-0.0069,-0.0187,-0.018,863,2019-08-07 16:26:52:589
6.4703,-7.4707,1.0335,-0.0318,0.123,0.0332,-5.0E-4,-0.0432,-0.0074,868,2019-08-07 16:26:52:594
6.4703,-7.4707,1.0335,-0.1008,0.0676,-0.0227,-5.0E-4,-0.0432,-0.0074,872,2019-08-07 16:26:52:598
6.4703,-7.4707,1.0335,-0.1008,0.0676,-0.0227,-5.0E-4,-0.0432,-0.0074,878,2019-08-07 16:26:52:604
6.5469,-7.4803,1.09,-0.1008,0.0676,-0.0227,0.0112,-0.0528,0.0054,883,2019-08-07 16:26:52:609
6.5469,-7.4803,1.09,-0.1008,0.0676,-0.0227,0.0112,-0.0528,0.0054,888,2019-08-07 16:26:52:614
6.6426,-7.4373,1.1089,-0.2672,0.0535,-0.0744,0.0176,-0.0411,0.0096,893,2019-08-07 16:26:52:619
6.6426,-7.4373,1.1089,-0.2672,0.0535,-0.0744,0.0176,-0.0411,0.0096,898,2019-08-07 16:26:52:624
6.6426,-7.4373,1.1089,-0.2672,0.0535,-0.0744,0.0229,-0.0219,0.015,902,2019-08-07 16:26:52:628
6.633,-7.4898,1.0146,-0.2672,0.0535,-0.0744,0.0229,-0.0219,0.015,910,2019-08-07 16:26:52:636
6.633,-7.4898,1.0146,-0.1678,0.1291,-0.0262,0.0261,0.009,0.0139,913,2019-08-07 16:26:52:639
6.5947,-7.5137,1.0523,-0.1678,0.1291,-0.0262,0.0261,0.009,0.0139,918,2019-08-07 16:26:52:644
6.5947,-7.5137,1.0523,-0.1678,0.1291,-0.0262,0.0251,0.0409,0.0139,923,2019-08-07 16:26:52:649
6.5947,-7.5137,1.0523,-0.1678,0.1291,-0.0262,0.0251,0.0409,0.0139,927,2019-08-07 16:26:52:653
6.4129,-7.5042,1.1749,-0.075,0.0898,-0.0874,0.0229,0.058,0.0118,933,2019-08-07 16:26:52:659
6.4129,-7.5042,1.1749,-0.075,0.0898,-0.0874,0.0229,0.058,0.0118,938,2019-08-07 16:26:52:664
6.4129,-7.5042,1.1749,-0.075,0.0898,-0.0874,0.0165,0.0569,0.0075,942,2019-08-07 16:26:52:668
6.322,-7.4851,1.2126,-0.075,0.0898,-0.0874,0.0165,0.0569,0.0075,949,2019-08-07 16:26:52:675
6.322,-7.4851,1.2126,0.109,0.0126,-0.1529,0.007,0.0239,0.0033,952,2019-08-07 16:26:52:678
6.2551,-7.38,1.2597,0.109,0.0126,-0.1529,0.007,0.0239,0.0033,958,2019-08-07 16:26:52:684
6.2551,-7.38,1.2597,0.109,0.0126,-0.1529,-0.0058,-0.0177,0.0065,963,2019-08-07 16:26:52:689
6.2551,-7.38,1.2597,0.109,0.0126,-0.1529,-0.0058,-0.0177,0.0065,968,2019-08-07 16:26:52:694
6.3316,-7.4039,1.189,0.109,0.0126,-0.1529,-0.0058,-0.0177,0.0065,973,2019-08-07 16:26:52:699
6.3316,-7.4039,1.189,-0.0545,-0.0075,-0.0749,-0.0175,-0.0507,0.0075,978,2019-08-07 16:26:52:704
6.4799,-7.3562,1.1183,-0.0545,-0.0075,-0.0749,-0.0175,-0.0507,0.0075,982,2019-08-07 16:26:52:708
6.4799,-7.3562,1.1183,-0.0545,-0.0075,-0.0749,-0.0186,-0.0656,0.0107,988,2019-08-07 16:26:52:714
6.6713,-7.3132,1.0099,-0.3023,-0.075,0.0323,-0.0186,-0.0656,0.0107,993,2019-08-07 16:26:52:719
6.6713,-7.3132,1.0099,-0.3023,-0.075,0.0323,-0.0186,-0.0432,0.0107,998,2019-08-07 16:26:52:724
6.6713,-7.3132,1.0099,-0.3023,-0.075,0.0323,-0.0186,-0.0432,0.0107,1002,2019-08-07 16:26:52:728
6.7383,-7.3753,0.9156,-0.3023,-0.075,0.0323,-0.0143,-0.007,0.0192,1008,2019-08-07 16:26:52:734
6.7383,-7.3753,0.9156,-0.3023,-0.075,0.0323,-0.0143,-0.007,0.0192,1014,2019-08-07 16:26:52:740
6.7383,-7.3753,0.9156,-0.307,0.0292,0.0968,-0.0143,-0.007,0.0192,1017,2019-08-07 16:26:52:743
6.633,-7.4564,0.9203,-0.307,0.0292,0.0968,-0.0037,0.0303,0.0192,1023,2019-08-07 16:26:52:749
6.633,-7.4564,0.9203,-0.307,0.0292,0.0968,-0.0037,0.0303,0.0192,1028,2019-08-07 16:26:52:754
6.633,-7.4564,0.9203,-0.307,0.0292,0.0968,-5.0E-4,0.0431,0.0182,1032,2019-08-07 16:26:52:758
6.4799,-7.5614,1.0287,-0.1138,0.1703,0.0106,-5.0E-4,0.0431,0.0182,1038,2019-08-07 16:26:52:764
6.4799,-7.5614,1.0287,-0.1138,0.1703,0.0106,0.0123,0.0484,0.0224,1043,2019-08-07 16:26:52:769
